country_code,country_name,z_Central govt debt (% of GDP),"z_Inflation (CPI, annual %)",z_Unemployment (% of labor force,z_GDP growth (annual %),z_Current account (% of GDP),z_External debt stocks (% of GNI,z_FDI net inflows (% of GDP),"z_Total reserves (includes gold,",z_fiscal_balance_pct_gdp,z_trade_openness_pct,z_Real interest rate (%),composite_risk_score,risk_index_0_100,risk_tier,GDP growth (annual %),"Inflation (CPI, annual %)",Central govt debt (% of GDP),Current account (% of GDP),year
ZA,South Africa,-0.11132090507640266,0.21293426206470156,3.6523128233687343,0.7506116675840327,0.8471087034791406,0.849683243907337,0.3594272478877097,0.5286096642385005,1.4153494099424007,0.12786910072436758,0.003951359156414405,0.7691776959262789,100.0,High Risk,1.55678384721676,4.50987264867388,59.1023114125426,-3.00051939426577,2018
BR,Brazil,0.5581166752358123,-0.008848313361893892,0.9906373689223297,0.6280727567906031,0.7981626960785314,-0.21174722501711532,-1.589129828854253,0.06951245621785604,1.902533478259597,1.4488701359214622,3.0691925374185964,0.6381779576644234,91.3,High Risk,1.78366676137003,3.66485028376729,86.6078841230118,-2.80752036371842,2018
GB,United Kingdom,2.2656626010296432,-0.36894291948554075,-0.5037134521786771,0.7535567636991831,1.072000047166424,,1.9728324517143123,0.356639562445415,0.6425601937429098,-0.409841508238831,,0.62384271154613,90.4,High Risk,1.55133095078786,2.29283990345938,156.766820519267,-3.88728858372976,2018
TR,Turkiye,-0.834223444550603,3.3158636572876685,0.7399355510616645,-0.2817142016673329,0.5559200974265319,1.5010858399065674,0.21175768828076988,0.46984162457186596,0.4265910338523061,-0.30230999201290615,,0.5795786739744659,87.4,High Risk,3.46815306092219,16.3324638988928,29.3999927097041,-1.85233343060557,2018
US,United States,0.8651312089948627,-0.3296416218680541,-0.5491794045802106,-0.010775339833380946,0.6283576993502749,,0.59618776945827,-0.03734728486292178,1.0803928828308458,1.5141648618876342,-0.37785183720263266,0.29949760871488224,68.9,Elevated Risk,2.96650506901305,2.44258329692817,99.2223695206525,-2.13796218132331,2018
NG,Nigeria,,2.2037368401627164,-0.33499642398985374,0.5529502720659025,-0.35180883001855884,-1.0852270028009208,1.2172094103098174,0.541119466148715,,,0.026428500079128173,0.2657706090776425,66.7,Elevated Risk,1.92275734200614,12.0951065173432,,1.72693303668361,2018
MX,Mexico,,0.3151556087330098,-0.6625703943045173,0.526310093302571,0.609636027126726,1.081199317592981,-0.8221787444739552,0.3513354294930976,-0.08751971062454528,-1.1992070848955974,-0.35166197168077384,0.11775626041635592,56.9,Elevated Risk,1.97208209405635,4.89935015356551,,-2.06414074457574,2018
IT,Italy,,-0.6721739486779527,0.6636111811667208,1.144956960489994,-0.5659838529797253,,-0.16902104587699185,0.3854810501945198,0.5277860811788471,-0.11918344464109756,-0.47573527322851755,0.09864457455892604,55.6,Elevated Risk,0.826646712344115,1.13748763600391,,2.57144669559437,2018
FR,France,,-0.4849557105321018,0.38606801791237944,0.7024755381565035,0.2727259991499262,,-0.657724883259216,0.36541365884784394,0.22022181695506032,-0.5074613301205867,,0.07725638439725457,54.2,Elevated Risk,1.64590872395887,1.85081508315502,,-0.735670615255371,2018
ID,Indonesia,,-0.13128551737413788,-0.45952565908160437,-1.2031954494469916,0.8315254135962665,0.3007661591917822,0.04239021866880068,0.4305298940877416,,0.716492382921452,0.07314742703611124,-0.007626718507921468,48.6,Moderate Risk,5.17429153955024,3.19834755924996,,-2.93907291477017,2018
JP,Japan,,-0.7111208351815734,-0.8101064968765618,1.2439329128546857,-0.805686457076283,,0.9881753883462617,-1.2034089553319425,,1.0499429258525914,,-0.07580651685359252,44.0,Moderate Risk,0.643391023533141,0.989094598021848,,3.51661817468288,2018
AU,Australia,-0.22819741333378815,-0.4690544883727842,-0.2846004285568286,0.03909439330568433,0.7332656691940307,,-1.7014761677408032,0.5253874318198632,-0.509836942651435,0.6907568876640408,-0.2776883201079364,-0.10863937050205279,41.9,Moderate Risk,2.87417039499501,1.91140094445691,54.3001380799371,-2.55162485886958,2018
CA,Canada,-0.25615238967397247,-0.3754031124522997,-0.19476408887187074,0.10995894607559657,0.6910265113826165,,-0.4295801627350703,0.4827329152145553,-1.0135853742148235,-0.4970222686607,,-0.1258246601618947,40.7,Moderate Risk,2.74296344906655,2.26822567248103,53.1515356456582,-2.38507161087906,2018
IN,India,-0.4174915670916045,0.06305882901421696,0.13664435935617514,-1.894282592069858,0.7016536425688784,-0.9124451687982844,0.22690271277863816,0.03475699840613319,0.2570842729686223,0.6885004522040115,-0.051682715734293894,-0.22084318087309346,34.4,Moderate Risk,6.45385134497769,3.9388264669163,46.5224986659322,-2.42697545810527,2018
