country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
AU,Australia,2018,54.3001380799371,-2.55162485886958,26.1317227432746,21.8125736575066,,4.23450805251819,1433144978761.67,2.87417039499501,21.7606517070152,1.91140094445691,1.33841214646451,3.35275994582846,25.7471757974481,53909533420.3007,5.345,1.43314497876167,43.573225364521804,-0.38454694582650006
AU,Australia,2019,59.9837867004913,-0.0206271927491188,26.0711901942783,24.0624800210722,,2.77077560426989,1398349602956.35,2.19401703622717,21.939202684145,1.61076787290379,1.43850654421382,1.56982320729507,25.9715065326299,57994685703.4779,5.143,1.39834960295635,46.0016827052172,-0.09968366164840248
AU,Australia,2020,69.0656538994855,1.86741781543883,30.1434988129749,23.9380373915413,,1.34826011276187,1333336461648.09,-0.133531904304775,20.5615267123377,0.846905537459305,1.45308511847016,,25.1891145627514,42544629264.9892,6.394,1.33333646164809,44.499564103878996,-4.954384250223502
AU,Australia,2021,69.836773674895,2.62544820701792,32.5518179379184,22.0018144228925,,2.01542405903096,1560617493202.69,2.00694844335034,18.200421516167,2.86391042204994,1.33122425957081,,25.6293211504608,57877502314.3513,5.022,1.56061749320269,40.202235939059506,-6.9224967874576
AU,Australia,2022,57.8834285733848,0.374773982764545,27.5833132925557,25.4615298373659,,4.05215286724898,1695627535475.8,4.25304559238732,20.2331120432093,6.59409671341846,1.44166445896522,,26.131348255083,56701901829.6459,3.728,1.6956275354758001,45.694641880575205,-1.4519650374727
AU,Australia,2023,,-0.234060559907305,,26.701068252275,,2.03614704389564,1734451264655.6,3.58382100798981,22.3432710661529,5.5970149253731,1.50519106560509,,,61703347652.0138,3.668,1.7344512646556,49.0443393184279,
AU,Australia,2024,,-1.97811216711747,,24.6215240529473,,3.03883928325354,1757022451652.83,1.37340773365975,22.5238570535723,3.1616142830575,1.51535803855596,,,60404058269.2777,3.942,1.75702245165283,47.1453811065196,
BR,Brazil,2018,86.6078841230118,-2.80752036371842,32.2312978931774,14.6349994958796,29.9289604206331,4.07858861807831,1916933708352.71,1.78366676137003,14.2412038802734,3.66485028376729,3.65382536145755,33.1023342525489,25.2724385276075,374709673447.828,12.329,1.91693370835271,28.876203376153,-6.9588593655699
BR,Brazil,2019,92.5652532010336,-3.41429111497121,31.1361557852699,14.1229191909095,31.1964144613097,3.69267330426814,1873288158838.63,1.22077782271943,14.7673386788259,3.73297621216894,3.9444710972507,31.9030727574424,25.5600401251614,356886386911.979,11.936,1.8732881588386299,28.8902578697354,-5.576115660108499
BR,Brazil,2020,98.7098819481716,-1.64103535066212,34.9119748287171,16.4535520099709,38.0076646022397,2.59263784624068,1476107292151.95,-3.27675879612903,15.8485265343782,3.21176803803376,5.15517878751281,21.1971796693451,22.1948673410326,355614251456.14,13.697,1.47610729215195,32.3020785443491,-12.717107487684498
BR,Brazil,2021,85.0115036759105,-2.35822088025659,29.498104322117,19.1094303686964,35.2910131878973,2.77979074096507,1670647464062.96,4.7626043797061,18.5469003905612,8.30165975585673,5.39440078962503,15.0108849846562,24.6358299173079,362210079181.317,13.158,1.67064746406296,37.6563307592576,-4.862274404809103
BR,Brazil,2022,79.1023218876878,-2.14967710619443,31.6414358454924,19.6307650034838,30.5621181630478,3.86803201499441,1951923832083.87,3.01669435408112,19.1853009729483,9.28010608956873,5.16397029102111,28.3960928180404,26.9365134587428,324673449781.4,9.231,1.95192383208387,38.8160659764321,-4.7049223867495975
BR,Brazil,2023,83.0317498511131,-1.23558182662996,32.4311004876146,17.9693243032658,28.628650184641,2.86383330702497,2191131869706.02,3.24165532813583,15.6969055268626,4.59356282283204,4.99437976287199,36.554470620355,25.3707484857691,355021395541.562,7.947,2.19113186970602,33.6662298301284,-7.0603520018455015
BR,Brazil,2024,81.8554431216383,-3.02715961462093,,17.9385794398128,28.6612661075538,3.38960802616211,2185821648943.86,3.41931516597739,17.6459444987261,4.36746407652337,5.3889349057096,34.7285151444461,26.4469343537929,329732443813.378,6.801,2.18582164894386,35.584523938538894,
CA,Canada,2018,53.1515356456582,-2.38507161087906,17.5409004540917,32.3254037264858,,2.46931207254863,1725329192783.02,2.74296344906655,34.2744821243903,2.26822567248103,1.29581792813534,,18.5291939067985,83925602808.0082,5.837,1.72532919278302,66.5998858508761,0.9882934527067988
CA,Canada,2019,53.3623246913959,-1.95170274818579,18.1057096781026,32.3526958202565,,2.80676687017653,1743725183672.52,1.90843194590616,33.8187894602395,1.94926902411593,1.32679336266012,,18.2776090385263,85297110783.6887,5.69,1.74372518367252,66.171485280496,0.17189936042370135
CA,Canada,2020,74.5544073791525,-2.01049352658992,28.5714736058033,29.4736472349344,,1.75897085668576,1655684730000.19,-5.03823343468899,31.6831237283418,0.716999632307827,1.34115267222386,,18.9901852083695,90428136419.3486,9.657,1.65568473000019,61.1567709632762,-9.581288397433799
CA,Canada,2021,68.7795713723483,-0.0219632282728957,22.4985744222565,31.1750782983294,,2.97618288160973,2022378748423.23,5.95052802804381,31.0717584176126,3.39519318527528,1.2538769021268,,19.862379496288,106615119570.101,7.527,2.02237874842323,62.246836715941996,-2.6361949259685
CA,Canada,2022,59.9440184640855,-0.288416485092606,18.2522606578883,33.9431906669379,,2.31755804932899,2190411080134.32,4.18903628100851,33.374430889461,6.80280115341613,1.30155477474355,,18.9723038717055,106952377364.743,5.279,2.19041108013432,67.3176215563989,0.720043213817199
CA,Canada,2023,62.4731322069255,-0.633319898544557,19.2603133808938,33.3498760996793,,2.01979850018061,2173339670064.33,1.52874550838358,33.2824552373876,3.87900159788426,1.3499086407939,,20.0017383538811,117550899244.64,5.415,2.17333967006433,66.6323313370669,0.7414249729873035
