country_code,country_name,indicator_code,indicator_name,year,value
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2024,1757022451652.83
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2023,1734451264655.6
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2022,1695627535475.8
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2021,1560617493202.69
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2020,1333336461648.09
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2019,1398349602956.35
AU,Australia,NY.GDP.MKTP.CD,GDP (current USD),2018,1433144978761.67
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2024,2185821648943.86
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2023,2191131869706.02
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2022,1951923832083.87
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2021,1670647464062.96
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2020,1476107292151.95
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2019,1873288158838.63
BR,Brazil,NY.GDP.MKTP.CD,GDP (current USD),2018,1916933708352.71
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2024,2243636826633.76
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2023,2173339670064.33
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2022,2190411080134.32
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2021,2022378748423.23
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2020,1655684730000.19
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2019,1743725183672.52
CA,Canada,NY.GDP.MKTP.CD,GDP (current USD),2018,1725329192783.02
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2024,18743803170827.2
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2023,18270356654533.2
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2022,18316765021690.2
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2021,18201698719564.0
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2020,14996414166715.1
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2019,14560167101283.4
CN,China,NY.GDP.MKTP.CD,GDP (current USD),2018,14147765772963.8
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2024,4685592577804.69
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2023,4562207532490.28
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2022,4201021706478.62
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2021,4355251953410.78
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2020,3941398957073.94
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2019,3959894794039.21
DE,Germany,NY.GDP.MKTP.CD,GDP (current USD),2018,4055433215301.96
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2024,3160442622465.08
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2023,3056250648138.29
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2022,2794788137066.94
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2021,2966433692008.09
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2020,2647926055110.05
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2019,2722793515171.76
FR,France,NY.GDP.MKTP.CD,GDP (current USD),2018,2781576320884.39
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2024,3686033044482.13
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2023,3420796653789.08
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2022,3181244350465.41
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2021,3194559188925.93
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2020,2724001478304.59
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2019,2875710080015.3
GB,United Kingdom,NY.GDP.MKTP.CD,GDP (current USD),2018,2897028009916.05
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2024,1396300098190.97
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2023,1371169301563.62
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2022,1319101183380.15
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2021,1186509691086.73
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2020,1059054842698.48
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2019,1119099871350.2
ID,Indonesia,NY.GDP.MKTP.CD,GDP (current USD),2018,1042271532988.63
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2024,3909891533858.08
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2023,3638489096033.86
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2022,3346107287730.93
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2021,3167270623260.47
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2020,2674851578587.27
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2019,2835606256558.19
IN,India,NY.GDP.MKTP.CD,GDP (current USD),2018,2702929641648.74
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2024,2380825077243.59
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2023,2316727999333.18
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2022,2104067630319.46
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2021,2179207773596.09
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2020,1907481094079.23
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2019,2019606796583.53
IT,Italy,NY.GDP.MKTP.CD,GDP (current USD),2018,2099435266458.67
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2024,4027597523550.58
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2023,4213167237905.83
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2022,4262463317796.53
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2021,5039148168861.22
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2020,5054068005376.28
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2019,5117993853016.51
JP,Japan,NY.GDP.MKTP.CD,GDP (current USD),2018,5040880939324.86
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2024,1875388209406.8
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2023,1844800934391.54
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2022,1799363116866.52
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2021,1942313560965.9
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2020,1744070276373.34
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2019,1751045752054.63
KR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current USD),2018,1824251454306.83
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2024,1856365616165.94
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2023,1798317581486.88
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2022,1466934724293.06
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2021,1316569466685.95
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2020,1121064767308.42
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2019,1304106203902.45
MX,Mexico,NY.GDP.MKTP.CD,GDP (current USD),2018,1256300182879.73
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2024,252261880141.151
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2023,487387801880.597
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2022,646950257577.814
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2021,609147716972.859
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2020,598586817819.073
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2019,668219992691.462
NG,Nigeria,NY.GDP.MKTP.CD,GDP (current USD),2018,421739251509.08
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2024,917767106146.761
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2023,812451193396.143
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2022,695607470875.276
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2021,689170230665.35
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2020,605914237903.742
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2019,602683770144.88
PL,Poland,NY.GDP.MKTP.CD,GDP (current USD),2018,594616687350.017
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2024,2173835806671.66
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2023,2071505725030.58
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2022,2291612121334.64
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2021,1829186719575.1
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2020,1493075894362.14
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2019,1693115002708.32
RU,Russian Federation,NY.GDP.MKTP.CD,GDP (current USD),2018,1657328773461.31
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2024,1239804533333.33
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2023,1218584533333.33
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2022,1239075200000.0
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2021,982661066666.667
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2020,767951200000.0
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2019,888890133333.333
SA,Saudi Arabia,NY.GDP.MKTP.CD,GDP (current USD),2018,886564800000.0
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2024,1359123768774.12
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2023,1141242864657.45
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2022,926097476913.818
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2021,839938668172.134
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2020,733628247119.077
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2019,775853144222.613
TR,Turkiye,NY.GDP.MKTP.CD,GDP (current USD),2018,788356985773.667
US,United States,NY.GDP.MKTP.CD,GDP (current USD),2024,28750956130731.2
US,United States,NY.GDP.MKTP.CD,GDP (current USD),2023,27292170793214.4
US,United States,NY.GDP.MKTP.CD,GDP (current USD),2022,25604848907611.0
US,United States,NY.GDP.MKTP.CD,GDP (current USD),2021,23315080560000.0
